###   ###
অ   AO
অবস্থানকালে   AO B OO S TTS AA N K AA L EH
অবস্থানকালেই   AO B OO S TTS AA N K AA L EHI
অবস্থানটা   AO B OO S TTS AA N T AA
অবস্থানরত   AO B OO S TTS AA N R AO TT OO
অবস্থানে   AO B OO S TTS AA N EH
অবস্থানের   AO B OO S TTS AA N EH R
অবস্থার   AO B OO S TTS AA R
অবস্থায়   AO B OO S TTS AAI 
অবস্থায়ই   AO B OO S TTS AA Y IH
অবস্থিত   AO B OO S TTS IH TT OO
অবহিত   AO B OO HH IH TT OO
অবহেলা   AO B OO HH EH L AA
অবহেলার   AO B OO HH EH L AA R
অবহেলিত   AO B OO HH EH L IH TT OO
অবাক   AO B AA K
অবাকই   AO B AA K IH
অবাঙালিদের   AO B AA NG AA L IH DD EH R
অবাঙালির   AO B AA NG AA L IH R
অবাধ   AO B AA DDS
অবারিত   AO B AA R IH TT OO
অবাস্তবতা   AO B AA S TT OO B AO TT AA
অবিকল   AO B IH K AO L
অবিকল   OO B IH K AO L
অবিকৃত   AO B IH K R IH TT OO
অবিচল   AO B IH CH AO L
অবিচার   AO B IH CH AA R
অবিচ্ছেদ্য   AO B IH CH CHS EH DD DD OO
অবিবাহিত   AO B IH B AA HH IH TT OO
অবিবাহিতদের   AO B IH B AA HH IH TT OO DD EH R
অবিবাহিতের   AO B IH B AA HH IH TT EH R
অবিরণ   AO B IH R AO N
অবিরাম   AO B IH R AA M
অবিলম্বে   AO B IH L AO M B EH
অবিশ্বাস   AO B IH SH SH AA SH
অবিশ্বাসের   AO B IH SH SH AA SH EH R
অবিশ্বাস্য   AO B IH SH SH AA SH SH OO
অবিস্মরণীয়   AO B IH SH AO R OO N IH Y OO
অবুঝ   AO B UH JHS
অবৈধ   AO B OI DDS OO
অবোধ   AO B OO DDS
অব্যবস্থাপনা   AO B AE B OO S TTS AA P OO N AA
অব্যবস্থাপনার   AO B AE B OO S TTS AA P OO N AA R
অব্যবস্থার   AO B AE B OO S TTS AA R
অব্যবহারে   AO B AE B OO HH AA R EH
অব্যাহত   AO B B AA HH AO TT OO
অব্যাহত   OO B B AA HH AO TT OO
অব্যাহতভাবে   OO B B AA HH AO TT OO BS AA B EH
অব্যাহতি   AO B B AA HH OO TT IH
অব্যয়   AO B B AO Y
অবয়ব   AO B AO Y OO B
অবয়বগত   AO B AO Y OO B G AO TT OO
অবয়বে   AO B AO Y OO B EH
অভাব   AO BS AA B
অভাবটা   AO BS AA B T AA
অভাবনীয়   AO BS AA B OO N IH Y OO
অভাবিত   AO BS AA B IH TT OO
অভাবে   AO BS AA B EH
অভাবের   AO BS AA B EH R
অভাবেরই   AO BS AA B EH R IH
অভি   OO BS IH
অভিকর্ষ   OO BS IH K AO R SH OO
অভিজাত   OO BS IH JH AA TT OO
অভিজ্ঞ   OO BS IH G G OO
অভিজ্ঞতা   OO BS IH G G AO TT AA
অভিজ্ঞতাই   OO BS IH G G AO TT AAY
অভিজ্ঞতাও   OO BS IH G G AO TT AA OO
অভিজ্ঞতাবলে   OO BS IH G G AO TT AA B AO L EH
অভিজ্ঞতার   OO BS IH G G AO TT AA R
অভিনন্দন   OO BS IH N AO N DD OO N
অভিনন্দনের   OO BS IH N AO N DD OO N EH R
অভিনব   OO BS IH N AO B OO
অভিনীত   OO BS IH N IH TT OO
অভিনেতা   OO BS IH N EH TT AA
অভিনেতাকে   OO BS IH N EH TT AA K EH
অভিনেতার   OO BS IH N EH TT AA R
অভিনেত্রী   OO BS IH N EH TT R IH
অভিনয়   OO BS IH N AO Y
অভিনয়কে   OO BS IH N AO Y K EH
অভিনয়জীবনের   OO BS IH N AO Y JH IH B OO N EH R
অভিনয়ে   OO BS IH N AO Y EH
অভিনয়ের   OO BS IH N AO Y EH R
অভিব্যক্তি   OO BS IH B AE K TT IH
অভিব্যক্তিকেও   OO BS IH B AE K TT IH K EH OO
অভিভাবক   OO BS IH BS AA B OO K
অভিভাবকদের   OO BS IH BS AA B OO K DD EH R
অভিভাবকরা   OO BS IH BS AA B OO K R AA
অভিভূত   OO BS IH BS UH TT OO
অভিমত   OO BS IH M AO TT
অভিমান   OO BS IH M AA N
অভিমানও   OO BS IH M AA N OO
অভিমানী   OO BS IH M AA N IH
অভিমানে   OO BS IH M AA N EH
অভিযান   OO BS IH JH AA N
অভিযানে   OO BS IH JH AA N EH
অভিযানেই   OO BS IH JH AA N EHI
অভিযানের   OO BS IH JH AA N EH R
অভিযুক্ত   OO BS IH JH UH K TT
অভিযুক্তদের   OO BS IH JH UH K TT DD EH R
অভিযুক্তরা   OO BS IH JH UH K TT R AA
অভিযোগ   OO BS IH JH OO G
অভিযোগও   OO BS IH JH OO G OO
অভিযোগে   OO BS IH JH OO G EH
অভিশাপ   OO BS IH SH AA P
অভিশাপেই   OO BS IH SH AA P EHI
অভিষেক   OO BS IH SH EH K
অভিষেকে   OO BS IH SH EH K EH
অভিহিত   OO BS IH HH IH TT OO
অভুক্ত   AO BS UH K TT OO
অভূতপূর্ব   AO BS UH TT OO P UH R B OO
অভ্যন্তরীণ   OO B BS OO N TT OO R IH N
অভ্যন্তরে   OO B BS OO N TT AO R EH
অভ্যন্তরে   OO B BS OO N TT OO R EH
অভ্যস্ত   OO B BS OO S TT OO
অভ্যাস   OO B BS AA SH
অভ্যাসও   OO B BS AA SH OO
অভ্যাসগত   OO B BS AA SH G AO TT OO
অভ্যাসগতভাবেই   OO B BS AA SH G AO TT OO BS AA B EHI
অভ্যাসে   OO B BS AA SH EH
অভ্যাসের   AO B BS AA SH EH R
অভ্যেস   OO B BS EH SH
অভয়   AO BS AO Y
অমতে   AO M AO TT EH
অমন   AO M OO N
অমনি   AO M N IH
অমনিই   AO M N IHY
অমর   AO M OO R
অমানবিক   AO M AA N OO B IH K
অমানিশা   AO M AA N IH SH AA
অমানুষিক   AO M AA N UH SH IH K
অমান্য   AO M AA N N OO
অমাবস্যার   AO M AA B AO SH SH AA R
অমিত   AO M IH TT
অমিত   AO M IH TT OO
অমিতাভ   AO M IH TT AA BS
অমিল   AO M IH L
অমীমাংসার   AO M IH M AA NG SH AA R
অমুক   OO M UH K
অমুকের   OO M UH K EH R
অমূল্য   AO M UH L L OO
অমৃতা   AO M R IH TT AA
অমেরুদণ্ডী   AO M EH R UH DD OO N D IH
অযত্ন   AO JH AO TT N OO
অযথা   AO JH OO TTS AA
অযাচিত   AO JH AA CH IH TT OO
অযোগ্য   AO JH OO G G OO
অযোধ্যা   AO JH OO DD DDS AA
অযোধ্যাও   AO JH OO DD DDS AA OO
অযৌক্তিক   AO JH OU K TT IH K
অর   AO R
অরণি   AO R OO N IH
অরণ্য   AO R OO N N OO
অরণ্যে   AO R OO N N EH
অরণ্যের   AO R OO N JH EH R
অরবিটাল   AO R B IH T AA L
অরবিস   AO R B IH S
অরাজকতা   AO R AA JH OO K AO TT AA
অরাজকতার   AO R AA JH OO K AO TT AA R
অরু   OO R UH
অরুচি   AO R UH CH IH
অরুণ   OO R UH N
অরুণা   OO R UH N AA
অরূপ   AO R UH P
অরেঞ্জ   AO R EH N JH
অর্কিড   AO R K IH D
অর্কেস্ট্রা   AO R K EH S T R AA
অর্কেস্ট্রার   AO R K EH S T R AA R
অর্গানাইজারকে   AO R G AA N AAY Z AA R K EH
অর্চিস   AO R CH IH S
অর্জন   AO R JH OO N
অর্জনে   AO R JH OO N EH
অর্জিত   OO R JH IH TT OO
অর্ডার   AO R D AA R
অর্ডারে   AO R D AA R EH
অর্ডারের   AO R D AA R EH R
অর্থ   AO R TTS OO
অর্থই   AO R TTS OO IH
অর্থকে   AO R TTS OO K EH
অর্থগত   AO R TTS OO G AO TT OO
অর্থটা   AO R TTS OO T AA
অর্থটাই   AO R TTS OO T AAY
অর্থদান   AO R TTS OO DD AA N
অর্থনীতি   AO R TTS OO N IH TT IH
অর্থনীতিতে   AO R TTS OO N IH TT IH TT EH
অর্থনীতিবিদ   AO R TTS OO N IH TT IH B IH DD
অর্থনীতির   AO R TTS OO N IH TT IH R
অর্থনৈতিক   AO R TTS OO N OI TT IH K
অর্থনৈতিকভাবে   AO R TTS OO N OI TT IH K BS AA B EH
অর্থপ্রাপ্তিই   AO R TTS OO P R AA P TT IHY
অর্থবল   AO R TTS OO B AO L
অর্থবহ   AO R TTS OO B AO HH
অর্থবিশারদ   AO R TTS OO B IH SH AA R OO DD
অর্থবিশারদরা   AO R TTS OO B IH SH AA R OO DD R AA
অর্থবিষয়ক   AO R TTS OO B IH SH AO Y OO K
অর্থব্যয়   AO R TTS OO B AE Y
অর্থসঙ্গতি   AO R TTS OO SH AO NG G OO TT IH
অর্থসম্পত্তি   AO R TTS OO SH AO M P OO TT TT IH
অর্থসম্পত্তির   AO R TTS OO SH AO M P OO TT TT IH R
অর্থহীন   AO R TTS OO HH IH N
অর্থানুসারে   AO R TTS AA N UH SH AA R EH
অর্থাভাবে   AO R TTS AA BS AA B EH
অর্থাৎ   AO R TTS AA TT
অর্থায়ন   AO R TTS AA Y OO N
অর্থি   OO R TTS IH
অর্থে   AO R TTS EH
অর্থের   AO R TTS EH R
অর্থোপার্জন   AO R TTS OO P AA R JH OO N
অর্ধ   AO R DDS OO
অর্ধডজন   AO R DDS OO D AO JH OO N
অর্ধডজনের   AO R DDS OO D AO JH OO N EH R
অর্ধদিবস   AO R DDS OO DD IH B AO SH
অর্ধবৃত্ত   AO R DDS OO B R IH TT TT OO
অর্ধবৃত্তাকার   AO R DDS OO B R IH TT TT AA K AA R
অর্ধমত   AO R DDS OO M AO TT
অর্ধমৃত   AO R DDS OO M R IH TT OO
অর্ধশত   AO R DDS OO SH AO TT OO
অর্ধশতটা   AO R DDS OO SH AO TT OO T AA
অর্ধশতাধিক   AO R DDS OO SH AO TT AA DDS IH K
অর্ধাহারে   AO R DDS AA HH AA R EH
অর্ধেক   AO R DDS EH K
অর্ধেকের   AO R DDS EH K EH R
অর্পণের   AO R P OO N EH R
অর্বিণ   AO R B IH N
অল   AO L
অলক্ষী   AO L OO K KS IH
অলক্ষ্মী   AO L OO K KS IH
অলঙ্কার   AO L OO NG K AA R
অলঙ্কারসহ   AO L OO NG K AA R SH AO HH OO
অলঙ্ঘনীয়   AO L AO NG GS OO N IH Y OO
অলস   AO L OO SH
অলাভজনক   AO L AA BS JH AO N OO K
অলিখিত   AO L IH KS IH TT OO
অলিগলি   OO L IH G OO L IH
অলিগলিতে   OO L IH G OO L IH TT EH
অলিভার   AO L IH BS AA R
অলিম্পাস   AO L IH M P AA S
অলিম্পিক   AO L IH M P IH K
অলিম্পিকসহ   AO L IH M P IH K SH AO HH OO
অলিম্পিকে   AO L IH M P IH K EH
অলিম্পিকের   AO L IH M P IH K EH R
অলিম্পিয়াড   AO L IH M P IH Y AA D
অলিম্পিয়াডে   AO L IH M P IH Y AA D EH
অলিয়ঁস   AO L IH Y* SH
অলুক্ষণে   AO L UH K KS UH N EH
অল্প   AO L P OO
অল্পক্ষণ   AO L P OO KS AO N
অল্পক্ষণের   AO L P OO KS AO N EH R
অল্পসল্প   AO L P OO SH AO L P OO
অশান্ত   AO SH AA N TT OO
অশান্তি   AO SH AA N TT IH
অশান্তির   AO SH AA N TT IH R
অশালীন   AO SH AA L IH N
অশিক্ষিত   AO SH IH K KS IH TT OO
অশুভ   AO SH UH BS OO
অশোক   AO SH OO K
অশ্রাব্য   AO S R AA B B OO
অশ্রু   OO S R UH
অশ্রুজল   OO S R UH JH AO L
অশ্রুজলে   OO S R UH JH AO L EH
অশ্রুবিন্দু   OO S R UH B IH N DD UH
অশ্রুবিন্দুর   OO S R UH B IH N DD UH R
অশ্লীল   AO SH L IH L
অশ্লীলতা   AO SH L IH L AO TT AA
অশ্লীলতাকে   AO SH L IH L AO TT AA K EH
অশ্লীলতায়   AO SH L IH L AO TT AAI 
অষ্টম   AO SH T OO M
অষ্টাদশী   AO SH T AA DD OO SH IH
অসংখ্য   AO SH OO NG KS OO
অসঙ্গত   AO SH AO NG G AO TT OO
অসঙ্গত   AO SH OO NG G AO TT OO
অসঙ্গতি   AO SH OO NG G OO TT IH
অসঙ্গতিপূর্ণ   AO SH OO NG G OO TT IH P UH R N OO
অসচেতনতা   AO SH AO CH EH TT OO N AO TT AA
অসচ্ছল   AO SH AO CH CHS AO L
অসত্   AO SH AO TT
অসন্তোষ   AO SH AO N TT OO SH
অসন্তোষের   AO SH AO N TT OO SH EH R
অসম   AO SH AO M OO
অসমর্থিত   AO SH AO M OO R TTS IH TT OO
অসম্পূর্ণ   AO SH AO M P UH R N AO
অসম্ভব   AO SH OO M BS AO B
অসম্ভবের   AO SH OO M BS AO B EH R
অসম্মান   AO SH AO M M AA N
অসম্মানজনক   AO SH AO M M AA N JH AO N OO K
অসময়ে   AO SH AO M AO Y EH
অসময়েও   AO SH AO M AO Y EH OO
অসহনীয়   AO SH AO HH OO N IH Y OO
অসহযোগিতা   AO SH AO HH OO JH OO G IH TT AA
অসহযোগিতার   AO SH AO HH AO JH OO G IH TT AA R
অসহায়   AO SH OO HH AAI 
অসহায়ত্ব   AO SH OO HH AA Y OO TT TT OO
অসহিষ্ঞু   AO SH AO HH IH SH Y UH
অসহিষ্ঞুতা   AO SH AO HH IH SH Y UH TT AA
অসহিষ্ঞুতার   AO SH AO HH IH SH Y UH TT AA R
অসহ্য   AO SH OO JH JHS OO
অসাধারণ   AO SH AA DDS AA R OO N
অসাধু   AO SH AA DDS UH
অসাধ্য   AO SH AA DD DDS OO
অসাধ্যকে   AO SH AA DD DDS OO K EH
অসাধ্যকেই   AO SH AA DD DDS OO K EHI
অসামঞ্জস্য   AO SH AA M OO N JH OO SH SH OO
অসামাজিক   AO SH AA M AA JH IH K
অসামান্য   AO SH AA M AA N N OO
অসীম   AO SH IH M
অসীমিত   AO SH IH M IH TT OO
অসুখ   AO SH UH KS
অসুখী   AO SH UH KS IH
অসুবিধা   AO SH UH B IH DDS AA
অসুবিধার   AO SH UH B IH DDS AA R
অসুবিধে   AO SH UH B IH DDS EH
অসুস্থ   AO SH UH S TTS OO
অসুস্থতা   AO SH UH S TTS OO TT AA
অসুস্থতার   AO SH UH S TTS OO TT AA R
অসুস্থতায়   AO SH UH S TTS OO TT AAI 
অস্কার   AO S K AA R
অস্কারের   AO S K AA R EH R
অস্টিনের   AO S T IH N EH R
অস্টেনের   AO S T EH N EH R
অস্ট্রেলিয়া   AO S T R EH L IH Y AA
অস্ট্রেলিয়াকে   AO S T R EH L IH Y AA K EH
অস্ট্রেলিয়ান   AO S T R EH L IH Y AA N
অস্ট্রেলিয়ার   AO S T R EH L IH Y AA R
অস্ট্রেলিয়ায়   AO S T R EH L IH Y AAI 
অস্ট্রেলীয়   AO S T R EH L IH Y
অস্ট্রেলীয়রা   AO S T R EH L IH Y OO R AA
অস্ট্রোহাঙ্গেরিয়ান   AO S T R OO HH AA NG G EH R IH Y AA N
অস্তগামী   AO S TT OO G AA M IH
অস্তমিত   AO S TT OO M IH TT OO
অস্তিত্ব   OO S TT IH TT TT OO
অস্তিত্বই   OO S TT IH TT TT OO IH
অস্তিত্বও   OO S TT IH TT TT OO OO
অস্তিত্বকে   OO S TT IH TT TT OO K EH
অস্তিত্বের   OO S TT IH TT TT EH R
অস্ত্র   AO S TT R OO
অস্ত্রটা   AO S TT R OO T AA
অস্ত্রপচার   AO S TT R OO P OO CH AA R
অস্ত্রপচারটি   AO S TT R OO P OO CH AA R T IH
অস্ত্রবোঝাই   AO S TT R OO B OO JHS AAY
অস্ত্রশস্ত্র   AO S TT R OO SH AO S TT R OO
অস্ত্রশস্ত্রও   AO S TT R OO SH AO S TT R OO OO
অস্ত্রের   AO S TT R EH R
অস্ত্রোপচার   AO S TT R OO P OO CH AA R
অস্ত্রোপচারের   AO S TT R OO P OO CH AA R EH R
অস্থায়ী   AO S TTS AA Y IH
অস্থিতিশীল   AO S TTS IH TT IH SH IH L
অস্থির   AO S TTS IH R
অস্থিরতা   AO S TTS IH R AO TT AA
অস্থিরতার   AO S TTS IH R AO TT AA R
অস্থিরতায়   AO S TTS IH R AO TT AAI 
অস্পষ্ট   AO SH P AO SH T OO
অস্বচ্ছ   AO SH AO CH CHS OO
অস্বস্তিকর   AO SH SH OO S TT IH K AO R
অস্বস্তিবোধ   AO SH SH TT IH B OO DDS
অস্বাভাবিক   AO SH SH AA BS AA B IH K
অস্বীকার   AO SH SH IH K AA R
অস্বীকৃতি   AO SH IH K R IH TT IH
অসৎ  OSHT   
অহরহ   AO HH OO R AO HH OO
অহিংস   AO HH IH NG SH OO
অহেতুক   AO HH EH TT UH K
অ্যাওয়ার্ড   AE OO Y AA R D
অ্যাওয়ার্ডস   AE OO Y AA R D S
অ্যাওয়ার্ডে   AE OO Y AA R D EH
অ্যাকশন   AE K SH OO N
অ্যাকসেসে   AE K S EH S EH
অ্যাকাউন্ট   AE K AAU N T
অ্যাকাউন্টিং   AE K AAU N T IH NG
অ্যাকাউন্টে   AE K AAU N T EH
অ্যাকাডেমি   AE K AA D EH M IH
